parameter,value,scope,notes
result_lock_date,2026-07-21,overall,B7 post-hoc reproducibility correction
study_design,Coordinated individual-participant-data analysis with cohort-specific Cox models and REML meta-analysis,overall,No participant-level data redistributed
primary_endpoint_1,First self-reported myocardial infarction stroke or physician-diagnosed heart disease,P1,Available in six cohorts
primary_endpoint_1_eligible_population,103348,P1,Endpoint eligible before common-model complete-case restriction
primary_endpoint_1_model_population,81225,P1,Fully adjusted complete-case population
primary_endpoint_1_events,13296,P1,Fully adjusted complete-case events
primary_endpoint_2,Cause-specific cardiovascular death from End-of-Life linkage,P2,HRS MHAS SHARE only
primary_endpoint_2_eligible_population,75592,P2,Endpoint eligible before common-model complete-case restriction
primary_endpoint_2_model_population,60404,P2,Fully adjusted complete-case population
primary_endpoint_2_events,2009,P2,Fully adjusted complete-case events
inclusion_age,>=50 years,eligibility,No reported baseline myocardial infarction stroke or heart failure
grip_exposure,Maximum left or right grip in kg,exposure,Standardised within cohort and sex
social_exposure,Harmonised social engagement score 0-10,exposure,Cohort-specific composite
multimorbidity_exposure,Count of eight non-cardiovascular chronic conditions,exposure,Cardiovascular diagnoses excluded
primary_covariate_model,age sex education marital status income quintile smoking alcohol BMI natural spline df=3,B7 model,Common directly harmonised covariates
not_in_primary_covariate_model,rural residence and physical activity,B7 model,Not directly comparable across all six cohorts
meta_analysis,Random-effects REML,pooled estimates,Cohort-specific log hazard ratios and standard errors
multiple_imputation,MICE m=20,P1 sensitivity,Not performed for P2 because MHAS contributed 17 deaths
competing_risk,Fine-Gray,P2 sensitivity,Non-cardiovascular death was the competing event
sparse_event_rule,Exclude cohorts with fewer than 30 events or a Cox warning,P2 sensitivity,Excludes MHAS
e_value_method,VanderWeele and Ding 2017,sensitivity,Does not establish absence of residual confounding
p1_misclassification_sensitivity,Se 0.70-0.80 and Sp 0.980-0.995,P1 supplementary,Crude cumulative-risk illustration only
protocol_status,Post hoc after internal reproducibility audit,reporting,Not preregistered
data_license_boundary,No individual-participant data redistributed,data availability,Original cohort agreements govern access
code_license,MIT,license,Applies to code files
aggregate_input_license,CC-BY 4.0,license,Applies to non-identifying aggregate tables
